trial,seed,success,eta_seconds,best_length_m,num_verified_routes,scouts_reached_target,scouts_run,scouts_no_path,scouts_step_budget,carrier_successes,num_carriers,carrier_success_rate,avg_risk_pct,avg_complexity_pct,avg_distance_pct,edges_blocked_final,num_random_hazards,final_fire_radius_m,early_termination,wall_clock_s
1,1000,True,170.61264,1184.81,3,100,100,0,0,3,3,100.0,85,7,15,0,5,10.0,False,0.18
2,1001,True,48.48192,336.68,3,41,41,0,0,3,3,100.0,51,4,28,0,5,4.1,True,0.06
3,1002,True,172.81295999999998,1200.09,3,100,100,0,0,3,3,100.0,63,3,30,0,5,10.0,False,0.16
4,1003,True,61.907039999999995,429.90999999999997,3,100,100,0,0,3,3,100.0,58,2,18,0,5,10.0,False,0.16
5,1004,True,110.93903999999999,770.41,3,100,100,0,0,3,3,100.0,61,4,22,0,5,10.0,False,0.17
6,1005,True,72.93744,506.51,3,100,100,0,0,3,3,100.0,61,9,27,0,5,10.0,False,0.17
7,1006,True,65.19168,452.72,3,96,96,0,0,3,3,100.0,67,2,19,0,5,9.6,True,0.12
8,1007,True,179.03951999999998,1243.33,3,100,100,0,0,3,3,100.0,77,5,15,0,5,10.0,False,0.16
9,1008,True,138.33648,960.67,3,100,100,0,0,3,3,100.0,84,4,12,0,5,10.0,False,0.17
10,1009,True,68.20416,473.64,3,100,100,0,0,3,3,100.0,62,6,18,0,5,10.0,False,0.15
11,1010,True,51.896159999999995,360.39,3,100,100,0,0,3,3,100.0,64,6,30,0,5,10.0,False,0.14
12,1011,True,59.34096,412.09000000000003,3,21,21,0,0,3,3,100.0,60,3,19,0,5,2.1,True,0.03
13,1012,True,52.14528,362.12,3,100,100,0,0,3,3,100.0,50,1,19,0,5,10.0,False,0.14
14,1013,True,52.14528,362.12,3,42,42,0,0,3,3,100.0,50,1,19,0,5,4.2,True,0.07
15,1014,True,52.01712,361.23,3,100,100,0,0,3,3,100.0,62,6,31,0,5,10.0,False,0.15
16,1015,True,320.09472,2222.88,3,100,100,0,0,3,3,100.0,79,8,16,0,5,10.0,False,0.17
17,1016,True,298.79424,2074.96,3,100,100,0,0,3,3,100.0,63,2,16,0,5,10.0,False,0.16
18,1017,True,55.12031999999999,382.78,3,100,100,0,0,3,3,100.0,56,6,32,0,5,10.0,False,0.15
19,1018,True,103.11696,716.09,3,36,36,0,0,3,3,100.0,78,5,13,0,5,3.6,True,0.05
20,1019,True,288.32975999999996,2002.29,3,100,100,0,0,2,3,66.66666666666666,72,3,16,0,5,10.0,False,0.18
21,1020,True,345.29184000000004,2397.86,3,100,100,0,0,3,3,100.0,71,7,15,0,5,10.0,False,0.16
22,1021,True,51.896159999999995,360.39,3,100,100,0,0,3,3,100.0,64,6,30,0,5,10.0,False,0.17
23,1022,True,61.60176,427.79,3,100,100,0,0,3,3,100.0,61,7,18,0,5,10.0,False,0.18
24,1023,True,82.69919999999999,574.3,3,38,38,0,0,3,3,100.0,67,8,24,0,5,3.8,True,0.08
25,1024,True,59.34096,412.09000000000003,3,100,100,0,0,3,3,100.0,60,3,19,0,5,10.0,False,0.17
26,1025,True,52.14528,362.12,3,60,60,0,0,3,3,100.0,50,1,19,0,5,6.0,True,0.1
27,1026,True,88.71264,616.06,3,100,100,0,0,3,3,100.0,77,6,14,0,5,10.0,False,0.15
28,1027,True,274.17888,1904.02,3,100,100,0,0,2,3,66.66666666666666,75,5,14,0,5,10.0,False,0.16
29,1028,True,56.177279999999996,390.12,3,63,63,0,0,3,3,100.0,49,3,18,0,5,6.3,True,0.1
30,1029,True,82.69919999999999,574.3,3,63,63,0,0,3,3,100.0,67,8,24,0,5,6.3,True,0.08
