trial,seed,success,eta_seconds,best_length_m,num_verified_routes,carrier_success_rate,wall_clock_s
1,1000,True,59.34096,412.09000000000003,1,100.0,0.1
2,1001,True,52.01712,361.23,1,100.0,0.08
3,1002,True,56.177279999999996,390.12,1,100.0,0.07
4,1003,True,48.48192,336.68,1,100.0,0.05
5,1004,True,48.48192,336.68,1,100.0,0.08
6,1005,True,48.48192,336.68,1,100.0,0.08
7,1006,True,48.48192,336.68,1,100.0,0.08
8,1007,True,61.444799999999994,426.7,1,100.0,0.08
9,1008,True,61.444799999999994,426.7,1,100.0,0.06
10,1009,True,52.01712,361.23,1,100.0,0.08
11,1010,True,61.444799999999994,426.7,1,100.0,0.08
12,1011,True,48.48192,336.68,1,100.0,0.05
13,1012,True,48.48192,336.68,1,100.0,0.1
14,1013,True,48.48192,336.68,1,100.0,0.1
15,1014,True,61.444799999999994,426.7,1,100.0,0.08
16,1015,True,61.444799999999994,426.7,1,100.0,0.09
17,1016,True,55.241279999999996,383.62,1,100.0,0.13
18,1017,True,51.896159999999995,360.39,1,100.0,0.1
19,1018,True,48.48192,336.68,1,100.0,0.07
20,1019,True,60.984,423.5,1,100.0,0.07
21,1020,True,61.444799999999994,426.7,1,100.0,0.08
22,1021,True,65.4768,454.7,1,100.0,0.08
23,1022,True,48.48192,336.68,1,100.0,0.09
24,1023,True,56.093759999999996,389.53999999999996,1,100.0,0.09
25,1024,True,61.444799999999994,426.7,1,100.0,0.08
26,1025,True,48.48192,336.68,1,100.0,0.07
27,1026,True,48.48192,336.68,1,100.0,0.08
28,1027,True,61.444799999999994,426.7,1,100.0,0.07
29,1028,True,61.444799999999994,426.7,1,100.0,0.07
30,1029,True,65.4768,454.7,1,100.0,0.09
