metric,mean,std,min,max,n_success
eta_seconds,119.206896,93.08958171191244,48.48192,345.29184000000004,30
best_length_m,827.8256666666667,646.4554285549477,336.68,2397.86,30
num_verified_routes,3.0,0.0,3.0,3.0,30
scouts_reached_target,85.33333333333333,25.54689175146204,21.0,100.0,30
carrier_successes,2.933333333333333,0.2537081317024624,2.0,3.0,30
carrier_success_rate,97.77777777777777,8.456937723415416,66.66666666666666,100.0,30
avg_risk_pct,64.8,10.158740079360236,49.0,85.0,30
avg_complexity_pct,4.7,2.321563088183001,1.0,9.0,30
edges_blocked_final,0.0,0.0,0.0,0.0,30
final_fire_radius_m,8.533333333333335,2.554689175146205,2.1,10.0,30
wall_clock_s,0.13633333333333333,0.04350848774373946,0.03,0.18,30
